email_ID,text
11,hello seen discussed article approach thank you http www paulgraham com spam html hell rules re trying accomplish something thomas alva edison this sf net email sponsored osdn tired old cell phone get new free https www inphonic com asp r sourceforge1 refcode1 vs3390 spamassassin devel mailing list spamassassin devel lists sourceforge net https lists sourceforge net lists listinfo spamassassin devel
12,yes great minds think alike even withput eval rules would useful would allow us respond quickly spammer tricks theo van dinter wrote thu aug 22 2002 07 27 52am 0700 marc perkel wrote anyone though idea live updates rules release idea user run cron job week get new default rule set would allow us react faster suggested months ago n remember details what came except would useful non eval rules since require code changes this sf net email sponsored osdn tired old cell phone get new free https www inphonic com asp r sourceforge1 refcode1 vs3390 spamassassin devel mailing list spamassassin devel lists sourceforge net https lists sourceforge net lists listinfo spamassassin devel
13,mon aug 19 2002 03 08 16pm 0100 john looney mentioned likely get boot like cobalt actually passing root dev hda5 kernel dev md0 solve reason booting box with root dev hda5 dev md0 dev md0 t booting it would barf ca t find init turns populating md0 tar which seems issues crosslinked files instance was trying make hard link glibc so hda failing only as friend present spotted errors and queried noticed hard linked files t exist on the new rootfs duplicated filesystems dump instead tar worked fine able tell lilo use root dev md0 everything worked woohoo kate irish linux users group ilug linux ie http www linux ie mailman listinfo ilug un subscription information list maintainer listmaster linux ie
14,chris garrigues cwg exmh deepeddy com date wed 21 aug 2002 10 40 39 0500 chris garrigues cwg exmh deepeddy com date wed 21 aug 2002 10 17 45 0500 ouch ll get right it robert elz kre munnari oz au date wed 21 aug 2002 19 30 01 0700 chance lengthen instead like exmh stuff nice columns fits display better use detache folder list one column main exmh window takes full screen top bottom less half width etc thought first order approximation would add using pack side top instead pack side left however since different width would look funny i ve done pretty think works going leave cosmetic issues others update documentation ll add exmh todo file i leaving 1 week vacation week last new functionality going add also pretty much everything want use probably pretty much done ll work bug fixes documentation vacation hopefully nothing afterwards chris chris garrigues http www deepeddy com cwg vircio http www vircio com 716 congress suite 200 austin tx 78701 1 512 374 0500 world war iii wrong doers vs evil doers
15,spamassassin hurting democracy owen http www bayarea com mld mercurynews news opinion 3900215 htm internet level political playing field by mike mccurry larry purpuro not many months people across country experience one of great recurring features american democracy shopping malls factory floors church socials even front stoops approached individuals want represent us public office chances high wo t know personally walk us offer handshake flier ask votes just technology affecting every area communication has begun affect way political candidates communicate voters in year gop gubernatorial primary california secretary state bill jones faced better funded candidates acquired mail addresses million potential california voters sent each unsolicited mail asking support that day might chosen traditional expensive methods contacting voters direct mail radio spots tv ads spent cents per message instead 35 cents per message direct mail another medium had jones chosen direct mail radio tv communication would been equally unsolicited defined mail world voters would opted receive campaign information jones through channels the response jones e mail effort however swift intense was lambasted anti spam advocates media coverage almost entirely negative fair jones tactics could refined used less than perfect list standard practice paid disclaimer message his detractors however attacked tactical miscues because mail sent unsolicited fact jones online campaign may visible asset era cynicism toward money in politics money typically spent unsolicited communication mediums jones tried level playing field no one likes commercial spam irrelevant untargeted highly intrusive even offensive sophisticated society it time differentiate commercial spam different unsolicited mail sent political candidates voters the debate particularly relevant light legislation congress that would constitute first federal law directly address spam believe mail intrusive direct mail telemarketing tv advertising comes politicians seeking reach voters simple link good mail campaigns allows recipients opt future mailings direct mail takes least phone call stamp taken list viewers must repeatedly endure tv ads when candidate lacks large campaign war chest use internet provide constituents information better prepare to perform civic duty casting educated votes 60 percent potential voters country possessing mail accounts makes sense political candidates use medium candidates might avoid tactical problems encountered jones campaign use technologies available today better ensure quality mail lists target content specific recipient groups but broader point remains political candidate sends voter an mail recipient choose delete message without opening unsubscribe list read even reply engage the sender choice belong voter anti spam advocates whose efforts better focused commercial mail political candidates free communicate voters best they let voters decide information mike mccurry former press secretary president clinton ceo advocacy management communications software company larry purpuro the former republican national committee deputy chief staff founder president political marketing firm written for los angeles times http xent com mailman listinfo fork
16,hi apologies possible silly question n think but eircom adsl service nat ed and implications would voip know difficulties voip connecting clients connected nat ed network internet wild i machines static real ips any help pointers would helpful cheers rgrds bernard bernard tyers national centre sensor research p 353 700 5273 e bernard tyers dcu ie w www physics dcu ie bty l n117 iiu mailing list iiu iiu taint org http iiu taint org mailman listinfo iiu
17,forteana d mcmann dmcmann b wrote robert moaby 33 sent death threats staff also jailed hoarding indecent pictures children home computer hmm n trust government secret police could look at another way there bit circumstantial evidence apparently mt listers approached via email little research dejanews google groups showed number messages clearly hoping contact girls appearing alt teens similar groups tried google groups search robert moaby them came top list note marie mt stands mark thomas slightly slimmer uk version michael moore mailing list named rob yahoo groups sponsor dvds free join now http us click yahoo com pt6ybb nxieaa mg3haa 7gsolb tm to unsubscribe group send email forteana unsubscribe egroups com your use yahoo groups subject http docs yahoo com info terms
18,nutshell solaris suns flavour unix original message kiall mac innes mailto kiall redpie com sent 22 august 2002 17 23 ilug subject ilug sun solaris someone explain type operating system solaris ive never seen used dont know wheather get server sun dell would prefer linux based server sun seems one im sure solaris distro linux completely different operating system someone explain kiall mac innes irish linux users group ilug linux ie http www linux ie mailman listinfo ilug un subscription information list maintainer listmaster linux ie irish linux users group ilug linux ie http www linux ie mailman listinfo ilug un subscription information list maintainer listmaster linux ie
19,apols posted http www pinkpaperclips net subs quiz2 html rob yahoo groups sponsor dvds free join now http us click yahoo com pt6ybb nxieaa mg3haa 7gsolb tm to unsubscribe group send email forteana unsubscribe egroups com your use yahoo groups subject http docs yahoo com info terms
20,someone explain type operating system solaris ive never seen used dont know wheather get server sun dell would prefer linux based server sun seems one but im sure solaris distro linux completely different operating system someone explain kiall mac innes irish linux users group ilug linux ie http www linux ie mailman listinfo ilug un subscription information list maintainer listmaster linux ie
21,apols posted http www pinkpaperclips net subs quiz2 html so anyone t beaker timc meep yahoo groups sponsor dvds free join now http us click yahoo com pt6ybb nxieaa mg3haa 7gsolb tm to unsubscribe group send email forteana unsubscribe egroups com your use yahoo groups subject http docs yahoo com info terms
22,thu aug 22 2002 05 13 01pm 0100 fergal moran mentioned nutshell solaris suns flavour unix though sure nice person would like bit detail solaris quite different linux though days make solaris act lot like linux extra cd gnu tools sun ship with solaris based sysv unix family quite similar to other unixen like hpux sco sun hardware general reliable lot expensive one of main bonuses get buying sun getting your hardware software one company support contract they fix ca t fob that software problem talk software vendor etc set linux likely support there is world different hardware options run linux sparc though companies like redhat t maintain sparc port anymore also buy machine linux oriented companies like dnuk who machines designed run linux version linux that extras machines get machine cheaper company like dell ll likely work time john irish linux users group ilug linux ie http www linux ie mailman listinfo ilug un subscription information list maintainer listmaster linux ie
23,john looney wrote thu aug 22 2002 05 13 01pm 0100 fergal moran mentioned nutshell solaris suns flavour unix though sure nice person would like bit detail solaris quite different linux though days make solaris act lot like linux extra cd gnu tools sun ship with solaris based sysv unix family quite similar to unixen like hpux sco sun hardware general reliable lot expensive one main bonuses get buying sun getting your hardware software one company support contract fix ca t fob that software problem talk software vendor etc set linux likely support there world different hardware options run linux sparc though companies like redhat t maintain sparc port anymore also buy machine linux oriented companies like dnuk machines designed run linux version linux extras machines get machine cheaper company like dell ll likely work time why say dell cheaper dnuk it gets bit complicated though http www levenez com unix history html pdraig irish linux users group ilug linux ie http www linux ie mailman listinfo ilug un subscription information list maintainer listmaster linux ie
24,hey easy green leslie leslie ellen jones ph jack trades doctor folklore lejones ucla edu truth odd number flann brien original message dino zzzzteana yahoogroups com sent thursday august 22 2002 10 13 am subject zzzzteana muppet damn kermit boring wan na rizzo coolest dino yahoo groups sponsor advertisement unsubscribe group send email forteana unsubscribe egroups com use yahoo groups subject yahoo terms service non text portions message removed yahoo groups sponsor dvds free join now http us click yahoo com pt6ybb nxieaa mg3haa 7gsolb tm to unsubscribe group send email forteana unsubscribe egroups com your use yahoo groups subject http docs yahoo com info terms
25,thu 22 aug 2002 john looney wrote sun hardware general reliable rofl experience well least caps lock keys work peter staunton ie said another problem dell branded keyboard hit caps lock twice whole machine crashes linux windows even on switch inactive leaving reach power cable instead bauwolf indigo ie said wanted solaris x86 waiting bit erm runs solaris x86 standard cheers al expressed posting opinions way related to opinions held employer sun microsystems statements sun products included gospel may be fiction rather truth irish linux users group ilug linux ie http www linux ie mailman listinfo ilug un subscription information list maintainer listmaster linux ie
26,multiple generations of peasants squatters cultivate live lands almost human parts property package when read getting legal title can take 20 years believe that year ought sufficient helped cairo reference i assumed talking the urban poor if see people living mansions or even suburban subdivisions assume they t much trouble with their titles if see people living shanties and haphazard alleyways tend assume their parcels t exactly recorded on government maps paid with bank loan especially nearby vacant lots shotgun wielding men presumably intent keeping development free now may manhattanites view of america say outside metro manila davao maybe another city or two cebu everything else literally is boondocks going very broad assumption guess describing the flip side mr roger experience the paisanos leave behind who remain patron rural land move to manila second assumption squat in shantytowns least they can line middle class job so going two large assumptions can come scenario title would take 20 years shantytown arises somewhere midst section or whatever spanish used divvy the land takes decades arguing to put together package somehow can both compensate owner record lots for inhabitants transferring title existing lot parties who money ought problem the obvious solution least us barking farting chihuahuas fork is to introduce market mechanisms is left exercise come one which works many agents are perceived negligible npv dave land reform meant agricultural producers had plant crops time profitable what happened highly capitalized land putting trees instead crops sounds like might sidestep that mr long think particularly enjoy de soto work on find list chance of an explanation bell jar in the meantime http xent com mailman listinfo fork
27,folks my first time posting bit unix experience new linux just got new pc home dell box windows xp added second hard disk for linux partitioned disk installed suse 2 cd went fine except t pick monitor dell branded e151fpp 15 lcd flat panel monitor nvidia geforce4 ti4200 video card probably new feature suse default set downloaded driver nvidia website installed using rpm then ran sax2 recommended postings found net but it still t feature video card available list next another problem dell branded keyboard hit caps lock twice the whole machine crashes linux windows even on off switch is inactive leaving reach power cable instead if anyone help way probs really grateful i ve searched net run ideas or going different version linux redhat opinions welcome thanks lot peter irish linux users group ilug linux ie http www linux ie mailman listinfo ilug un subscription information list maintainer listmaster linux ie
28,thu 22 aug 2002 joseph barrera iii wrote wait re dead sure enough carbon in fat typical liposuction job make decent diamond so thats keep seeing debeers agents hovering around me tom diamonds folds flesh wsmf http xent com mailman listinfo fork
29,joseph barrera iii wrote chris haun wrote lifegem certified high quality diamond created carbon loved one memorial unique wonderful life wait re dead sure enough carbon in fat typical liposuction job make decent diamond joe oh hell excrement love able say sun t shine ass occasional diamond owen http xent com mailman listinfo fork
30,update anyone interested like closed threads nothing worse infinite loop ended formatting floppy flatmate un networked p100 running fat16 win95 mcopied contents bootdisk across fat16 win98 install running alongside slackware play metal gear solid mood takes ciaran on wednesday 21 august 2002 16 21 ciaran johnston wrote dublin said copy files disk partition mark as active work yeah figured n seem well case ll give another go tonight maybe come back error messages clarify t understand initially a floppy drive installed n physically work nowhere handy pick one n fancy waiting days for one arrive peats thanks answers ciaran especially need io sys command com msdos sys cd driver sys read autoexec bat config sys files for hints boot floppy g p wed 2002 08 21 14 07 ciaran johnston wrote hi folks situation home pc 10gig hdds no working floppy drive running linux solely last year recently got urge among things play of windoze games normally install windows partition using boot floppy conveniently zipped n way writing reading floppy go formatting drive system files normally would use format c floppy 2 installing cdrom drivers bootdisk wrote many years ago normally 3 booting partition wiped linux partitions first drive created partitions windows hda1 slackware redhat used cfdisk for made first drive hda bootable installed the windows partition lilo reran lilo installed mbr copied contents boot zip new windows partition tried boot get garbled line squiggles anyone ideas ca t think anywhere athlone get new floppy drive evening thanks ciaran irish linux users group ilug linux ie http www linux ie mailman listinfo ilug un subscription information list maintainer listmaster linux ie irish linux users group ilug linux ie http www linux ie mailman listinfo ilug un subscription information list maintainer listmaster linux ie
31,anyone seen heard of used package would let random person go webpage create mailing list administer list also of course let ppl sign lists manage subscriptions similar old listbot org like running server someone elses chris http xent com mailman listinfo fork
32,apparent quote dubya times sent dad http www timesonline co uk printfriendly 1 43 351083 00 html tony blair special relationship george bush under considerable strain two disagree yassir arafat tenure leader palestinian authority blair started telling disparaging anecdotes president baroness williams crosby recalled story told my good friend tony blair recently brighton blair bush jacques chirac discussing economics particular decline of the french economy the problem french bush confided in blair is t word entrepreneur http xent com mailman listinfo fork
33,automated response message sent hauns froehlingsdorf infinetivity com i office monday august 26 2002 i reply email return hauns hauns froehlingsdorf network systems manager infinetivity inc 952 225 4200 http www infinetivity com
34,al white wrote erm runs solaris x86 standard it runs solaris x86 standard joking al irish linux users group ilug linux ie http www linux ie mailman listinfo ilug un subscription information list maintainer listmaster linux ie
35,hi thank useful replies found interesting tutorials ibm developer connection https www6 software ibm com developerworks education sec1 and https www6 software ibm com developerworks education sec2 registration needed i post message web application security list suggested someone for thing use md5 password checking use approach described secure programmin fo linux unix how to i separate authentication module change implementation anytime thank mario torre please avoid sending word powerpoint attachments see http www fsf org philosophy no word attachments html
36,mark twomey joked erm runs solaris x86 standard runs solaris x86 standard joking al and run solaris sun catch x86 drivers kernel although t hold breath free dvd never come spot person applied free solaris dvd told three months later longer available mutter fwiw solaris linux seem getting closer time no longer see specific reason one better expect red hat solaris 11 time grin matthew do yahoo everything ll ever need one web page from news sport email music charts http uk my yahoo com irish linux users group ilug linux ie http www linux ie mailman listinfo ilug un subscription information list maintainer listmaster linux ie
37,thu aug 22 2002 10 58 34pm 0200 robert harley wrote apparent quote dubya times sent dad http www timesonline co uk printfriendly 1 43 351083 00 html http www snopes com quotes bush htm claim president george bush proclaimed problem with the french t word entrepreneur origins yet another french fried george bush dumb story taken like caricatures drawn stark bold lines according scuttlebutt that emerged british press july 2002 president bush britain prime minister tony blair france president jacques chirac discussing economics particular the decline french economy problem the french bush afterwards confided blair don have word entrepreneur the source shirley williams also known baroness williams crosby claimed good friend tony blair had recently regaled anecdote brighton lloyd grove washington post unable reach baroness williams gain confirmation tale did receive call alastair campbell blair director of communications strategy tell prime minister never heard george bush say certainly never told shirley williams president bush say campbell told post put speech must have joke this far first time bush made butt of jibe meant showcase perceive less than stellar intellectual abilities without straining memories too hard come three instances we ve chronicled site summer 2001 joke the moment centered upon supposed study resulted the ranking presidential iqs george bush pegged as chief executive scraped bottom the intelligence barrel december 2000 fake nostradamus quatrain pontificated village idiot would win the 2000 presidential election spring 2002 it was story bush waving stevie wonder set folks to chortling sleeves stories illustrate widely believed intellectual shortcoming always waft george bush they seemingly confirm many already hold true this public figure brightest fellow ever been human nature revel yarns hearer at some level agrees thus tales sort always fall upon appreciative ears barbara ears corn mikkelson last updated 29 july 2002 http xent com mailman listinfo fork
38,hehe sorry hit caps lock twice computer crashes theres one ive never heard tryed dell support yet think dell computers prefer redhat dell provide computers pre loaded red hat dont know sure tho get someone elses opnion well as mine original message from ilug admin linux ie mailto ilug admin linux ie behalf peter staunton sent 22 august 2002 19 58 to ilug linux ie subject ilug newbie seeks advice suse 2 folks my first time posting bit unix experience new linux just got new pc home dell box windows xp added second hard disk for linux partitioned disk installed suse 2 cd which went fine except t pick monitor i dell branded e151fpp 15 lcd flat panel monitor nvidia geforce4 ti4200 video card probably new feature suse default set downloaded driver nvidia website installed using rpm then ran sax2 recommended postings found net but it still t feature video card available list next another problem dell branded keyboard hit caps lock twice the whole machine crashes linux windows even on off switch is inactive leaving reach power cable instead if anyone help way probs really grateful i ve searched net run ideas or going different version linux redhat opinions welcome thanks lot peter irish linux users group ilug linux ie http www linux ie mailman listinfo ilug un subscription information list maintainer listmaster linux ie irish linux users group ilug linux ie http www linux ie mailman listinfo ilug un subscription information list maintainer listmaster linux ie
39,17 10 22 08 2002 0100 nick hilliard wrote apologies possible silly question n think eircom adsl service nat ed get unfiltered access real dynamic ip address implications would voip know are difficulties voip connecting clients connected nat ed network internet wild i machines static real ips probably suffer high latency dls lines typically re talking 50ms rtt local bas pretty high voip application handle re ok nick what deal latency like places where ve used dsl read story done way allow greater distances covered something like however knowledge physics really newtonian n understand worsening latency could possibly improve reliability 2000 foot long piece copper perhaps something stretching time space continuum someone explain words five syllables or less iiu mailing list iiu iiu taint org http iiu taint org mailman listinfo iiu antoin lachtnain antoin eire com http www eire com 353 87 240 6691 iiu mailing list iiu iiu taint org http iiu taint org mailman listinfo iiu
40,manoj kasichainula wrote http www snopes com quotes bush htm claim president george bush proclaimed problem with french t word entrepreneur status false lloyd grove washington post unable reach baroness williams gain confirmation tale did receive call alastair campbell blair director of communications strategy tell prime minister never heard george bush say certainly never told shirley williams president bush say campbell told post put speech must joke so guy failed reach source instead got spin doctor to deny wot thick enough expect official confirmation that yes blair going around casting aspersions bush it amusing anecdote n know true certainly nothing supports authoritative sounding conclusion status false http xent com mailman listinfo fork
41,lucas gonze spam the tool dissident news since fact unsolicited means recipients ca t blamed mailing list that depends list collected or even senders say list is collected better put website and way surfed anonymously and it t clutter inbox chat friends online try msn messenger http messenger msn com http xent com mailman listinfo fork
42,23 aug 2002 57 robert harley wrote s amusing anecdote n know true certainly nothing supports authoritative sounding conclusion status false actually thought pretty funny quite accurate cares spinmeisters denying http xent com mailman listinfo fork
43,downloaded driver nvidia website installed using rpm ran sax2 recommended postings found net but still t feature video card available list next hmmm peter open terminal root type lsmod you want find module called nvdriver if t loaded load it insmod nvdriver oh ensure module loaded boot else reboot you might nasty surprise once kernel module loaded vim etc x11 xf86config in section marked driver neomagic you need have driver nvidia here part xf86config also note using card using should able safely use fbbpp 32 option section module load extmod load xie load pex5 load glx subsection dri n need load peter option mode 666 endsubsection load dbe load record load xtrap load speedo load type1 endsection plus modelines monitor singfinicantly different section monitor identifier monitor0 vendorname monitor vendor modelname monitor model horizsync 28 00 35 00 vertrefresh 43 00 72 00 modeline 800x600 36 800 824 896 1024 600 601 603 625 modeline 1024x768 49 1024 1032 1176 1344 768 771 777 806 endsection section device identifier card0 driver neomagic change nvidia making sure modules are correct path vendorname neomagic nvidia boardname nm2160 busid pci 18 endsection section screen identifier screen0 device card0 monitor monitor0 defaultdepth 24 subsection display depth endsubsection subsection display depth endsubsection subsection display depth endsubsection subsection display depth 15 endsubsection subsection display depth 16 endsubsection subsection display depth 24 fbbpp 32 ie able lto uncomment line modes 1024x768 800x600 640x480 add higher resulutions as desired endsubsection endsection irish linux users group ilug linux ie http www linux ie mailman listinfo ilug un subscription information list maintainer listmaster linux ie
44,according son actually homer simpson claimed french word victory chuck on thursday august 22 2002 01 58 pm robert harley wrote apparent quote dubya times sent dad http www timesonline co uk printfriendly 1 43 351083 00 html tony blair special relationship george bush under considerable strain two disagree yassir arafat tenure leader palestinian authority blair started telling disparaging anecdotes president baroness williams crosby recalled story told my good friend tony blair recently brighton blair bush jacques chirac discussing economics particular decline of french economy the problem french bush confided in blair is t word entrepreneur http xent com mailman listinfo fork http xent com mailman listinfo fork
45,whore eructed amusing anecdote n know true but certainly nothing supports authoritative sounding conclusion status false thats trick let anecdotal utterances like deemed true exsqueeze part t know true did fail grok personally doubt simply never heard bush chirac going brighton next time hear joke promise laugh checked out primary sources confirmation triplicate ok good thing we around keep us straight narrow while inundating us erudite profundities kill idols folks fight powers innumerable other dippy bromides http xent com mailman listinfo fork
46,wo t reading email sunday night good luck with 40 t anything would t dan
47,function router wish it even looks like modem embedded os kind linux that it interesting interfaces like eth0 i t use router though absolute minimum dsl stuff really fun stuff like pppoe linux box also manual tells default password is do t forget run pppoe alcatel speedtouch 350i case you have bridge configured router modem software this lists vci values etc also anyone know high end speedtouch with ethernet ports act full router still need run pppoe stack linux box regards vin irish linux users group ilug linux ie http www linux ie mailman listinfo ilug un subscription information list maintainer listmaster linux ie irish linux users group ilug linux ie http www linux ie mailman listinfo ilug un subscription information list maintainer listmaster linux ie
48,eirikur hallgrimsson eh mad scientist com writes e gary news service teledyn com article internet saturation let ask if rock the middle atlantic mostly dark half year would t you like bit internet distraction they ve already done obvious fiber ringed island there lots similar places saskatchewan example once shared iceland distinction telephone connections per capita long time shared internet penetration lead with iceland sask land locked massive expanse ultra flat dust with only two rivers farm sizes measured the hundred thousand hectares it still curious iceland leads maybe deep cultural curiousity fascination watching advertising rest of the world maybe re downloading bjork videos gary lawrence murphy garym teledyn com teledynamics communications inc business advantage community software http www teledyn com computers useless give answers pablo picasso
49,monday august 26 2002 09 59 tom wrote post mg 80 colums dewdney dug bunch put book called turing omnibus of course goodens put dougy hoffstadler a dewdney name looking column computer recreations turns still ontario even homemade sci fi online http www csd uwo ca faculty akd tales index html vat man programming roger the homunculids alphie omega ross
